Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-01-03,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-01-04,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-01-05,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-01-08,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-01-09,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-01-10,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-01-11,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-01-12,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-01-15,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-01-16,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-01-17,0.05625,0.05625,0.05625,0.05625,0.05625,26667.0
2012-01-18,0.0375,0.0375,0.0375,0.0375,0.0375,5333.0
2012-01-19,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-01-22,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-01-23,0.0375,0.0375,0.0375,0.0375,0.0375,4289.0
2012-01-24,0.0375,0.0375,0.0375,0.0375,0.0375,5333.0
2012-01-26,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-01-29,,,,,,
2012-01-30,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-01-31,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-02-01,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-02-02,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-02-05,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-02-06,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-02-07,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-02-08,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-02-09,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-02-12,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-02-13,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-02-14,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-02-15,0.0375,0.0375,0.0375,0.0375,0.0375,2933.0
2012-02-16,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-02-19,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-02-20,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-02-21,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-02-22,0.0375,0.0375,0.0375,0.0375,0.0375,26667.0
2012-02-23,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-02-26,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-02-27,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-02-28,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-02-29,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-03-01,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-03-04,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-03-05,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-03-06,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-03-07,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-03-08,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-03-11,0.0375,0.0375,0.0375,0.0375,0.0375,35404.0
2012-03-12,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-03-13,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-03-14,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-03-15,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-03-18,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-03-19,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-03-20,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-03-21,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-03-22,0.0375,0.0375,0.0375,0.0375,0.0375,0.0
2012-03-25,0.0375,0.0375,0.0375,0.0375,0.0375,23467.0
